figure_panel,biomarker,curve,n_points,max_value,t_at_max_day,min_value
A,IL6,max_gray_envelope,169,6782.15,0.0,19.9344
A,IL6,median_green,169,570.0,0.25,1.0
A,IL6,p5_green,169,11.0,0.25,1.0
A,IL6,p95_green,169,6640.0,0.25,5.00094
B,IL6,max_gray_envelope,169,8466.64,0.0,15.483
B,IL6,median_green,169,477.0,0.25,1.0
B,IL6,p5_green,169,8.0,0.25,1.0
B,IL6,p95_green,169,5639.0,0.25,4.25899
C,IL6,max_gray_envelope,169,7174.04,0.0,18.961699999999997
C,IL6,median_green,169,304.0,0.25,1.0
C,IL6,p5_green,169,5.0,0.25,1.0
C,IL6,p95_green,169,3937.0,0.25,2.22426
D,IL6,max_gray_envelope,169,8472.27,0.0,26.881600000000002
D,IL6,median_green,169,304.0,0.0,1.0
D,IL6,p5_green,169,5.0,0.25,1.0
D,IL6,p95_green,169,3937.0,0.25,2.29087
E,Tcell,max_gray_envelope,169,72.9457,0.75,7.60198
E,Tcell,median_green,169,26.0,0.5,0.638876
E,Tcell,p5_green,169,2.86995,1.75,0.0
E,Tcell,p95_green,169,62.0188,0.75,2.98674
F,Tcell,max_gray_envelope,169,67.4558,0.75,8.22265
F,Tcell,median_green,169,20.0,0.75,0.578313
F,Tcell,p5_green,169,8.6747,0.5,0.0
F,Tcell,p95_green,169,55.5663,0.75,2.93976
G,Tcell,max_gray_envelope,169,66.9333,7.5,8.894
G,Tcell,median_green,169,12.0,1.0,0.7418058139256374
G,Tcell,p5_green,169,2.61814,14.5,0.0
G,Tcell,p95_green,169,37.484,1.0,3.32655
H,Tcell,max_gray_envelope,169,70.018,7.75,8.66124
H,Tcell,median_green,169,12.0,1.0,0.686134
H,Tcell,p5_green,169,1.98375,22.0,0.0
H,Tcell,p95_green,169,37.5459,1.0,3.38516
