figure_panel,regimen,biomarker,curve,time_day,value,units,digitization_note
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,0.0,556.124,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,0.25,570.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,0.5,224.934,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,0.75,126.897,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,1.0,25.366,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,1.25,12.1235,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,1.5,7.88963,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,1.75,6.55531,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,2.0,5.45438,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,2.25,4.41568,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
