figure_panel,regimen,patient_rank_fraction,approx_virtual_patient_rank_if_N4500,tumor_change_percent_day84,units,digitization_note
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0000,1,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0020,10,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0040,19,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0060,28,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0080,37,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0100,46,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0120,55,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0140,64,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0160,73,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0180,82,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0200,91,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0220,100,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0240,109,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0260,118,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0280,127,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0300,136,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0320,145,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
