weight_tumor,start_idx,status,scalar_loss,tumor_loss,il6_loss,tumor_mean_logratio,il6_mean_logratio,n_failed,dose1_mg,dose2_mg,dose3_mg,dose4_mg,dose5_mg,dose6_mg
0.05,1,not_converged,-0.005422410350751028,-0.10813709156377052,-0.010683071562434199,-0.1253941021579297,-0.026695301143547772,0,2.5404562037461416,11.171874445575838,9.097851257327944,17.713050189979594,12.206854482253991,14.18841213090894
0.05,2,not_converged,-0.005582293516061113,-0.1114216608049408,-0.0059362029198165855,-0.13066369864301178,-0.021034992647334015,0,2.6276984177794005,10.143991841307122,9.418884089015272,14.81649677034409,19.247109961504343,14.331753989768895
0.05,3,not_converged,-0.004197008662244707,-0.08365497930030806,-0.010607313962408466,-0.09480095489184011,-0.019990330027204205,0,2.312052527891062,8.68843424308977,9.578295276859468,20.26007899706892,15.77074793681111,15.029335425410839
0.05,4,not_converged,-0.005611853269929068,-0.11197836849444667,-0.007722028191590596,-0.13127075056662485,-0.02282786138852728,0,2.634829267643051,9.49726053291827,10.04933269490441,17.641224368050484,17.387946141102695,11.107203238992591
0.05,5,not_converged,-0.0024383422927632295,-0.04865662562040301,-0.0032401899600616596,-0.05313771868789654,-0.008043072452775659,0,1.9847208066138111,8.164454242416568,10.358980751608394,19.46967389256308,17.025919644487843,24.27543566485617
0.2,1,not_converged,-0.01394810381297292,-0.070924242884938,-0.017399998706788128,-0.07922510415638269,-0.02600008890473214,0,2.178868682059133,8.84307815307541,13.517683560236721,11.461974899810999,17.96562419920193,15.437230447110716
0.2,2,not_converged,-0.014399529753229728,-0.07185201004822908,-0.018446676967832337,-0.082181559172642,-0.027608621005722016,0,2.242545763074691,8.236310246918235,9.537314016672285,15.775301644854006,19.413577597426706,12.987579580357792
0.2,3,not_converged,-0.014534491524082106,-0.07252357704328953,-0.019089250019424922,-0.08097253800680626,-0.02839076370855433,0,2.1884724376321087,9.274492168709758,9.793118577466531,16.751890444377853,22.43186418485815,5.65482928083573
0.2,4,not_converged,-0.015419690689662369,-0.08140964780554712,-0.01923502592420237,-0.09111959180701847,-0.029803232966292895,0,2.2491900803527862,9.553162972559077,12.78379898646106,15.774082880661814,12.204028824440188,14.126888343971432
0.2,5,not_converged,-0.012926583445731294,-0.06449854288645857,-0.017468949827860125,-0.07307785521472968,-0.02530047967486501,0,2.175152959734822,6.840612368867729,12.870835861036305,17.917587121594917,15.675804507497626,14.321086273928866
0.35,1,not_converged,-0.01290572127951629,-0.05632812121656303,-0.019804820467364162,-0.0616252937258954,-0.026474140647513283,0,2.0402550480354105,8.077138354444497,14.498669357181408,14.8981007732353,17.045791656157736,12.14057108062064
0.35,2,not_converged,-0.012116734766408734,-0.04416369110081045,-0.018598751209595712,-0.0508183469489745,-0.025047840788264962,0,2.024346776488094,6.416770131106686,13.697214227656673,14.840751247959913,18.22192489657793,15.488483697357745
0.35,3,not_converged,0.0022101301435654857,-0.07327813847426094,0.003436221458589836,-0.08097690507995861,-0.00411895202131222,0,2.0158531340206745,14.770752301868615,18.97370238325434,16.94548839908569,2.435517213332601,25.202122720418817
0.35,4,not_converged,-0.011708361534080605,-0.052592392653650386,-0.0179665783395863,-0.06074066546267126,-0.026213001635415255,0,2.107110920374185,5.888713451285259,15.996885290881119,13.571893712002971,17.002345925381796,16.095827348242363
0.35,5,not_converged,-0.013210856616026372,-0.05518300731272188,-0.020274406460411773,-0.06448094600146381,-0.02902839931128343,0,2.135744730975506,6.8135893303664945,10.300693236870158,17.998361963705158,15.151160282606467,17.35398876986959
0.5,1,not_converged,-0.009665031844954377,-0.06904548809244183,-0.01924177642539092,-0.07644268509391287,-0.027708844543446284,0,2.1361995236858324,9.749420697220843,12.216566180836358,12.569272607386933,16.944235223888246,14.827739157422682
0.5,2,not_converged,-0.009114988146153007,-0.03384691913432614,-0.01817795142174994,-0.04228198227505218,-0.026636443669315585,0,1.9932970123249205,5.872740139868833,11.338078357950467,17.770310639554197,19.5394015210051,13.683498619407487
0.5,3,not_converged,-0.003191944194799834,-0.006371038646650475,-0.006478704302542979,-0.007251674733249716,-0.008242128590444604,0,1.5803768328857246,19.88863160908872,1.0076897262301934,13.837891142195188,22.97352615940416,15.923760645449152
0.5,4,not_converged,-0.009259653377978109,-0.018575389782372595,-0.018482249117056787,-0.019812235441793617,-0.021073624003479313,0,1.7502911395890457,8.854741300298835,10.616576994069943,16.514781231471147,21.259359950982898,11.479318181151196
