parameter,base_value,dlbcl_final_value,dlbcl_min_value,dlbcl_max_value,n_distinct_values_including_base,n_dlbcl_variants_touching_parameter,distinct_values_including_base,dlbcl_variant_ids_touching_parameter,in_xlsx_sheet,has_cyno_bounds,preferred_xlsx_value,xlsx_lb,xlsx_ub
Bpbo_perml,1000000.0,250000.0,250000.0,1000000.0,3,3,250000; 500000; 1000000,5; 20; 25,False,False,,,
Bpbref_perml,1000000.0,250000.0,250000.0,1000000.0,3,3,250000; 500000; 1000000,5; 20; 25,True,False,500000.0,,
Cl_tdb,3.0,5.4,1.5,5.4,3,2,1.5; 3; 5.4,20; 27,True,False,5.4,,
IL6_tiss_contribution,0.02,0.0004,0.0004,0.02,3,2,0.0004; 0.003; 0.02,24; 28,True,False,0.0004,,
KBp,1.0,333.0,1.0,900.0,3,2,1; 333; 900,5; 20,True,False,333.0,,
KBp2,1.0,190.0,1.0,600.0,3,2,1; 190; 600,5; 20,True,False,190.0,,
KBp3,600.0,80.0,60.0,600.0,3,2,60; 80; 600,14; 20,True,False,80.0,,
KTrp,1.0,200.0,1.0,500.0,3,2,1; 200; 500,5; 20,True,False,200.0,,
KTrp2,0.02,190.0,0.02,500.0,3,2,0.02; 190; 500,5; 20,True,False,190.0,,
KTrp3,500.0,60.0,50.0,500.0,3,2,50; 60; 500,14; 20,True,False,60.0,,
Vpb,40.0,5000.0,40.0,5000.0,3,2,40; 380; 5000,5; 20,True,False,5000.0,,
Vtissue,40.0,210.0,7.0,210.0,3,2,7; 40; 210,5; 20,True,False,210.0,,
Vtissue2,1.0,400.0,1.0,400.0,3,2,1; 25; 400,5; 20,True,False,400.0,,
Vtissue3,1.0,500.0,1.0,500.0,3,2,1; 50; 500,14; 20,True,False,500.0,,
fTap,1.0,3.773,1.0,3.773,3,2,1; 2.4; 3.773,5; 24,True,True,3.773,1.2576666666666667,10.0
Trpbo_perml,2000000.0,500000.0,500000.0,2000000.0,2,3,500000; 2000000,5; 20; 25,False,False,,,
Trpbref_perml,2000000.0,500000.0,500000.0,2000000.0,2,3,500000; 2000000,5; 20; 25,True,False,500000.0,,
Cld_tdb,25.0,24.17,24.17,25.0,2,1,24.17; 25,27,True,False,24.17,,
KBptumor,1.0,1600.0,1.0,1600.0,2,1,1; 1600,28,True,False,6500.0,,
KTrptumor,1.0,100.0,1.0,100.0,2,1,1; 100,28,True,False,125.0,,
KdrugB,10.0,1.302,1.302,10.0,2,1,1.302; 10,24,True,True,1.302,0.5,3.906
KdrugactT,50.0,130.083,50.0,130.083,2,1,50; 130.083,24,True,True,130.083,100.0,300.0
KmBT_act,0.1,0.716,0.1,0.716,2,1,0.1; 0.716,24,True,True,0.716,0.4,1.0
Km_tdb,4.74,5.72,4.74,5.72,2,1,4.74; 5.72,27,False,False,,,
Kptumor,1.0,0.05,0.05,1.0,2,1,0.05; 1,28,True,False,0.05,,
S,1.0,1.4,1.0,1.4,2,1,1; 1.4,24,True,True,1.4,1.3,1.5
Vc_tdb,35.0,36.78,35.0,36.78,2,1,35; 36.78,27,True,False,36.78,,
Vm_tdb,212.0,0.0,0.0,212.0,2,1,0; 212,27,False,False,,,
Vp_tdb,110.0,173.47,110.0,173.47,2,1,110; 173.47,27,True,False,173.47,,
Vtumor,1.0,100.0,1.0,100.0,2,1,1; 100,28,True,False,49.6,,
fAICD,1.0,1.497,1.0,1.497,2,1,1; 1.497,24,True,True,1.497,1.0,4.5
fBexit,1.0,0.333,0.333,1.0,2,1,0.333; 1,24,False,False,,,
fBkill,1.0,0.1,0.1,1.0,2,1,0.1; 1,24,True,True,0.1,0.005,0.4
fKmTB_kill,1.0,10.0,1.0,10.0,2,1,1; 10,24,True,True,10.0,8.0,12.0
fTa0apop,1.0,2.019,1.0,2.019,2,1,1; 2.019,24,True,True,2.019,0.673,5.0
fTa0deact,1.0,0.001,0.001,1.0,2,1,0.001; 1,24,True,True,0.001,0.001,0.1
fTact,1.0,0.25,0.25,1.0,2,1,0.25; 1,24,True,True,0.25,0.1,0.4
