idx	name	class	target_name	amount_json	rate_json	time_json	start_time_json	interval_json	repeat_count_json	amount_units	rate_units	time_units	event_mode	active	tag
1	1mg/kg 4qw	SimBiology.RepeatDose	TDBc_ugperkg	1000	0	[]	0	7	3				stop	0	
2	0.1 mg/kg 4qw	SimBiology.RepeatDose	TDBc_ugperkg	100	0	[]	0	7	3				stop	0	
3	1mg/kg single	SimBiology.RepeatDose	TDBc_ugperkg	1000	0	[]	0	365	0				stop	0	
4	0.1 mg/kg single	SimBiology.RepeatDose	TDBc_ugperkg	100	0	[]	0	7	0				stop	0	
5	0.01 mg/kg 4qw	SimBiology.RepeatDose	TDBc_ugperkg	10	0	[]	0	7	3				stop	0	
6	0.01 mg/kg 2qw	SimBiology.RepeatDose	TDBc_ugperkg	10	0	[]	0	7	1				stop	0	
7	4qw inj	SimBiology.RepeatDose	injection_effect	1	0	[]	0	7	3				stop	0	
8	single inj	SimBiology.ScheduleDose	injection_effect	1	0	0	[]	[]	[]				stop	0	
9	2qw inj	SimBiology.ScheduleDose	injection_effect	[1,1]	[0,0]	[0,7]	[]	[]	[]				stop	0	
10	0.01 mg/kg single	SimBiology.RepeatDose	TDBc_ugperkg	10	0	[]	0	7	0				stop	0	
11	0.001 mg/kg single	SimBiology.RepeatDose	TDBc_ugperkg	1	0	[]	0	7	0				stop	0	
12	0.003 mg/kg single	SimBiology.RepeatDose	TDBc_ugperkg	3	0	[]	0	7	0				stop	0	
13	RTX 10 mg/kg 2qw	SimBiology.RepeatDose	RTXc_ugperkg	10000	0	[]	0	7	1				stop	0	
14	RTX 10 mg/kg single dose	SimBiology.RepeatDose	RTXc_ugperkg	10000	0	[]	0	7	0				stop	0	
15	RTX 0.2 mg/kg 2qw	SimBiology.RepeatDose	RTXc_ugperkg	200	0	[]	0	7	1				stop	0	
16	RTX 2 mg/kg 2qw	SimBiology.RepeatDose	RTXc_ugperkg	2000	0	[]	0	7	1				stop	0	
17	RTX 0.05 mg/kg 2qw	SimBiology.RepeatDose	RTXc_ugperkg	50	0	[]	0	7	1				stop	0	
18	4qw inj drug	SimBiology.RepeatDose	drug_effect	1	0	[]	0	7	3				stop	0	
19	single inj drug	SimBiology.ScheduleDose	drug_effect	1	0	0	[]	[]	[]				stop	0	
20	Blin 15 IV 4w	SimBiology.ScheduleDose	Blinc_ug	420	15	0	[]	[]	[]				stop	0	
21	Blin 5-15-60 IV 3w	SimBiology.ScheduleDose	Blinc_ug	[35,105,420]	[5,15,60]	[0,7,14]	[]	[]	[]				stop	0	
22	Blin 60 IV 3w	SimBiology.ScheduleDose	Blinc_ug	1260	60	0	[]	[]	[]				stop	0	
23	8q3w inj	SimBiology.ScheduleDose	injection_effect	[1,1,1,1,1,1,1,1]	[0,0,0,0,0,0,0,0]	[0,21,42,63,84,105,126,147]	[]	[]	[]				stop	0	
