idx	name	parent	value	value_units	units	constant_value	boundary_condition	constant	notes	tag
1	VmB	TDB	0.95			1	0	1		
2	KmTB_kill	TDB	0.75			1	0	1		
3	KdrugB	TDB	10	nanogram/milliliter	nanogram/milliliter	1	0	1		
4	kBapop	TDB	0.03	1/day	1/day	1	0	1		
5	kBprolif	TDB	0.7	1/day	1/day	1	0	1		
6	kTprolif	TDB	0.7	1/day	1/day	1	0	1		
7	kBkill	TDB	1			1	0	1		
8	KdrugactT	TDB	50	nanogram/milliliter	nanogram/milliliter	1	0	1		
9	VmT	TDB	0.9			1	0	1		
10	KmBT_act	TDB	0.1			1	0	1		
11	kTaexit	TDB	1			1	0	1		
12	kTact	TDB	1			1	0	1		
13	fTadeact	TDB	0			1	0	1		
14	fTap	TDB	1			1	0	1		
15	Cl_tdb	TDB	3	milliliter/day/kilogram	milliliter/day/kilogram	1	0	1		
16	Cld_tdb	TDB	25	milliliter/day/kilogram	milliliter/day/kilogram	1	0	1		
17	Vc_tdb	TDB	35	milliliter/kilogram	milliliter/kilogram	1	0	1		
18	Vp_tdb	TDB	110	milliliter/kilogram	milliliter/kilogram	1	0	1		
19	kTgen	TDB	1	1/day	1/day	1	0	1		
20	kTaapop	TDB	0.5			1	0	1		
21	KTrp	TDB	1			1	0	1		
22	Trpbo_perml	TDB	2000000	1/milliliter	1/milliliter	1	0	1		
23	fTaprolif	TDB	2			1	0	1		
24	fBprolif	TDB	0			1	0	1		
25	Bpbo_perml	TDB	1000000	1/milliliter	1/milliliter	1	0	1		
26	fBexit	TDB	1			1	0	1		
27	KBp	TDB	1			1	0	1		
28	Kp	TDB	0.14			1	0	1		
29	Vpb	TDB	40	milliliter	milliliter	1	0	1		
30	Vtissue	TDB	40	milliliter	milliliter	1	0	1		
31	fTrapop	TDB	0.1	1/day	1/day	1	0	1		
32	Trpbref_perml	TDB	2000000	1/milliliter	1/milliliter	1	0	1		
33	nkill	TDB	2			1	0	1		
34	KTrp2	TDB	0.02			1	0	1		
35	Vm_tdb	TDB	212	microgram/day	microgram/day	1	0	1		
36	Km_tdb	TDB	4.74	microgram/milliliter	microgram/milliliter	1	0	1		
37	BW	TDB	3.4	kilogram	kilogram	1	0	1		
38	act0on	TDB	1			1	0	1		
39	kIL6prod	TDB	1			1	0	1		
40	fa0	TDB	0.5			1	0	1		
41	fAICD	TDB	1			1	0	1		
42	kBAFFprod	TDB	1			1	0	1		
43	Bpbref_perml	TDB	1000000			1	0	1		
44	thBAFF	TDB	30	minute	minute	1	0	1		
45	thalfIL6	TDB	20	minute	minute	1	0	1		
46	fTa0deact	TDB	1			1	0	1		
47	fTa0apop	TDB	1			1	0	1		
48	BAFFo	TDB	1			1	0	1		
49	fBAFFo	TDB	0.1			1	0	1		
50	tinjhalf	TDB	1	day	day	1	0	1		
51	finj	TDB	0.1			1	0	1		
52	KBp2	TDB	1			1	0	1		
53	Vtissue2	TDB	1			1	0	1		
54	Kp2	TDB	0.07			1	0	1		
55	tissue2on	TDB	0			1	0	1		
56	Vc_rtx	TDB	28			1	0	1		
57	Vp_rtx	TDB	9			1	0	1		
58	Cl_rtx	TDB	8			1	0	1		
59	Cld_rtx	TDB	23			1	0	1		
60	Vm_rtx	TDB	0			1	0	1		
61	Km_rtx	TDB	1			1	0	1		
62	Kmkill_rtx	TDB	25			1	0	1		
63	fTgenbl	TDB	0			1	0	1		
64	depleteTpb	TDB	0			1	0	1		
65	depleteBpb	TDB	0			1	0	1		
66	kTrexit	TDB	1			1	0	1		
67	PKflag	TDB	1			1	0	1		
68	VPid	TDB	1			1	0	1		
69	end_time	TDB	1			1	0	1		
70	fdrug	TDB	1			1	0	1		
71	Vtissue3	TDB	1			1	0	1		
72	KTrp3	TDB	500			1	0	1		
73	tissue3on	TDB	0			1	0	1		
74	Kp3	TDB	0.07			1	0	1		
75	kBtiss3exit	TDB	0.03			1	0	1		
76	KBp3	TDB	600			1	0	1		
77	B19no20_B1920_ratio	TDB	0.25			1	0	1		
78	fvalidation	TDB	0			1	0	1		
79	fapop_v24	TDB	0			1	0	1		
80	fBtissue3_v1	TDB	1			1	0	1		
81	kBmat_kBapop_ratio	TDB	0.25			1	0	1		
82	ndrugactT	TDB	1			1	0	1		
83	Cl_blin	TDB	22300			1	0	1		
84	Vz_blin	TDB	1610			1	0	1		
85	KdrugactT_blin	TDB	0.1	nanogram/milliliter	nanogram/milliliter	1	0	1		
86	ndrugactT_blin	TDB	1			1	0	1		
87	KmTB_kill_blin	TDB	0.75			1	0	1		
88	KdrugB_blin	TDB	0.015	nanogram/milliliter	nanogram/milliliter	1	0	1		
89	nkill_blin	TDB	1.027			1	0	1		
90	KmBT_act_blin	TDB	0.716			1	0	1		
91	kBapop_cll	TDB	1			1	0	1		
92	kBgen_cll	TDB	1			1	0	1		
93	fBkill	TDB	1			1	0	1		
94	fTact	TDB	1			1	0	1		
95	fKmTB_kill	TDB	1			1	0	1		
96	Kptumor	TDB	1			1	0	1		
97	Vtumor	TDB	1			1	0	1		
98	KBptumor	TDB	1			1	0	1		
99	KTrptumor	TDB	1			1	0	1		
100	tumor_on	TDB	0			1	0	1		
101	IL6_tiss_contribution	TDB	0.02			1	0	1		
102	kBtumorprolif	TDB	0.025			1	0	1		
103	S	TDB	1			1	0	1		
104	tissue1on	TDB	1			1	0	1		
105	kabs_TDB	TDB	1.4			1	0	1		
106	fbio_TDB	TDB	0.6			1	0	1		
107	Bcell_tumor_trafficking_on	TDB	1			1	0	1		
