idx	name	reaction	reaction_rate	reversible	active	kinetic_law_class	kinetic_law_param_names_json	kinetic_law_param_values_json	tag
1	Btiss_prolf	Btiss -> 2 Btiss	kBprolif*KBp*Bpbref_perml*Vtissue*(max(0, 1 - Btiss/(KBp*Bpbref_perml*Vtissue)))^1	0	1	SimBiology.KineticLaw	[]	[]	
2	Ttiss_activn	restTtiss + drugTtissact + BlinTtissact <-> actTtiss + drugTtissact + BlinTtissact	kTact*((drugTtissact+BlinTtissact)*restTtiss-fTadeact*actTtiss)	1	1	SimBiology.KineticLaw	[]	[]	
3	Btiss_apop	Btiss -> null	0*fBprolif*kBprolif*Btiss*kBapop_cll	0	1	SimBiology.KineticLaw	[]	[]	
4	`	TDBc_ugperkg <-> null	(Cl_tdb+Vm_tdb/(Km_tdb+TDBc_ugperkg/Vc_tdb)/BW)/Vc_tdb*TDBc_ugperkg	1	1	SimBiology.KineticLaw	[]	[]	
5	TDBdistr	TDBc_ugperkg <-> TDBp_ugperkg	Cld_tdb*(TDBc_ugperkg/Vc_tdb-TDBp_ugperkg/Vp_tdb)	1	1	SimBiology.KineticLaw	[]	[]	
6	UnnamedReaction_6	restTtiss + Btiss + drugTtissact + TDBt_ugperml -> restTtiss + Btiss + drugTtissact + TDBt_ugperml + restTtiss	0	0	1		[]	[]	
7	UnnamedReaction_7	actTtiss + Btiss + drugBtisskill + TDBt_ugperml -> actTtiss + Btiss + drugBtisskill + TDBt_ugperml	0	0	1		[]	[]	
8	restTtraffic	restTpb + injection_effect + drug_effect <-> restTtiss + injection_effect + drug_effect	tissue1on*kTrexit*Vpb*((1+finj*injection_effect+fdrug*drug_effect)*restTpb/Vpb*KTrp-restTtiss/Vtissue)	1	1	SimBiology.KineticLaw	[]	[]	
9	Tgen	totTpb_perml -> restTpb + totTpb_perml	kTgen*Vpb*Trpbref_perml*(fTgenbl+max(0,1-totTpb_perml/Trpbref_perml)^2)	0	1	SimBiology.KineticLaw	[]	[]	
10	Btraffic	Bpb -> Btiss	tissue1on*fBexit*kTaexit*Vpb*max(0, Bpb/Vpb*KBp-Btiss/Vtissue)	0	1	SimBiology.KineticLaw	[]	[]	
11	Tpb_activn	restTpb + drugTpbact + BlinTpbact <-> actTpb + drugTpbact + BlinTpbact	kTact*((drugTpbact+BlinTpbact)*restTpb-fTadeact*actTpb)	1	1	SimBiology.KineticLaw	[]	[]	
12	Bpb_prolif	Bpb -> 2 Bpb	tissue3on*fBtissue3_v1*kBapop*Bpb*kBapop_cll	0	1		[]	[]	
13	Bpb_apop	Bpb -> null	kBapop*Bpb*kBapop_cll	0	1		[]	[]	
14	UnnamedReaction_14	TDBc_ugperml + drugTpbact + Bpb -> TDBc_ugperml + drugTpbact + Bpb	0	0	1		[]	[]	
15	UnnamedReaction_15	TDBc_ugperml + actTpb + drugBpbkill + Bpb -> TDBc_ugperml + actTpb + drugBpbkill + Bpb	0	0	1		[]	[]	
