idx	name	rule_type	rule	active	tag
1		initialAssignment	restTpb = (1-depleteTpb)*Trpbo_perml*Vpb	1	
2		initialAssignment	restTtiss = KTrp*Trpbo_perml*Vtissue	1	
3		initialAssignment	restTtiss2 = KTrp2*Trpbo_perml*Vtissue2	1	
4		initialAssignment	restTtiss3 = KTrp3*Trpbo_perml*Vtissue3	1	
5		initialAssignment	restTtumor = KTrptumor*Trpbo_perml*Vtumor	1	
6		initialAssignment	Bpb = (1-depleteBpb)*Bpbo_perml*Vpb	1	
7		initialAssignment	Btiss = KBp*Bpbo_perml*Vtissue	1	
8		initialAssignment	Btiss2 = KBp2*Bpbo_perml*Vtissue2	1	
9		initialAssignment	B1920tiss3 = Bpbref_perml*KBp3*Vtissue3	1	
10		initialAssignment	B19no20tiss3 = Bpbref_perml*KBp3*B19no20_B1920_ratio*Vtissue3	1	
11		initialAssignment	Btumor = KBptumor*Bpbo_perml*Vtumor	1	
12		initialAssignment	BAFF = BAFFo	1	
13		repeatedAssignment	TDBc_ugperml = PK_v26(TDBc_ugperkg, Vc_tdb, PKflag, VPid, time, end_time, fvalidation)	1	
14		repeatedAssignment	TDBt_ugperml = Kp*TDBc_ugperml	1	
15		repeatedAssignment	TDBt2_ugperml = Kp2*TDBc_ugperml	1	
16		repeatedAssignment	TDBt3_ugperml = tissue3on*Kp3*TDBc_ugperml	1	
17		repeatedAssignment	TDBtumor_ugperml = tumor_on*Kptumor*TDBc_ugperml	1	
18		repeatedAssignment	RTXc_ugperml = (RTXc_ugperkg/Vc_rtx>1e-5)*RTXc_ugperkg/Vc_rtx	1	
19		repeatedAssignment	RTXt_ugperml = RTXc_ugperml*Kp	1	
20		repeatedAssignment	RTXt2_ugperml = RTXc_ugperml*Kp2	1	
21		repeatedAssignment	RTXt3_ugperml = tissue3on*RTXc_ugperml*Kp3	1	
22		repeatedAssignment	RTXtumor_ugperml = tumor_on*RTXc_ugperml*Kptumor	1	
23		repeatedAssignment	Blinc_ngperml = Blinc_ug/Vz_blin*1000	1	
24		repeatedAssignment	Blint_ngperml = Kp*Blinc_ngperml	1	
25		repeatedAssignment	Blint2_ngperml = Kp2*Blinc_ngperml	1	
26		repeatedAssignment	Blint3_ngperml = tissue3on*Kp3*Blinc_ngperml	1	
27		repeatedAssignment	Blintumor_ngperml = tumor_on*Kptumor*Blinc_ngperml	1	
28		repeatedAssignment	restTpb_perml = restTpb/Vpb	1	
29		repeatedAssignment	restTtiss_perml = restTtiss/Vtissue	1	
30		repeatedAssignment	restTtiss2_perml = restTtiss2/Vtissue2	1	
31		repeatedAssignment	restTtiss3_perml = restTtiss3/Vtissue3	1	
32		repeatedAssignment	restTtumor_perml = restTtumor/Vtumor	1	
33		repeatedAssignment	act0Tpb_perml = act0Tpb/Vpb	1	
34		repeatedAssignment	act0Ttiss_perml = act0Ttiss/Vtissue	1	
35		repeatedAssignment	act0Ttiss2_perml = act0Ttiss2/Vtissue2	1	
36		repeatedAssignment	act0Ttiss3_perml = act0Ttiss3/Vtissue3	1	
37		repeatedAssignment	act0Ttumor_perml = act0Ttumor/Vtumor	1	
38		repeatedAssignment	actTpb_perml = actTpb/Vpb	1	
39		repeatedAssignment	actTtiss_perml = actTtiss/Vtissue	1	
40		repeatedAssignment	actTtiss2_perml = actTtiss2/Vtissue2	1	
41		repeatedAssignment	actTtiss3_perml = actTtiss3/Vtissue3	1	
42		repeatedAssignment	actTtumor_perml = actTtumor/Vtumor	1	
43		repeatedAssignment	B19tiss3 = B19no20tiss3+B1920tiss3	1	
44		repeatedAssignment	Bpb_perml = Bpb/Vpb	1	
