idx	name	parent	initial_amount	initial_amount_units	units	constant_amount	boundary_condition	constant	type	notes	tag
1	actTtiss	unnamed	0			0	0	0	species		
2	Btiss	unnamed	0			0	0	0	species		
3	TDBc_ugperkg	unnamed	0			0	0	0	species		
4	actTpb	unnamed	0			0	0	0	species		
5	drugBtisskill	unnamed	0			0	0	0	species		
6	drugTtissact	unnamed	0			0	0	0	species		
7	restTtiss	unnamed	0			0	0	0	species		
8	TDBp_ugperkg	unnamed	0			0	0	0	species		
9	restTpb	unnamed	2000000			0	0	0	species		
10	Bpb	unnamed	0			0	0	0	species		
11	TDBc_ugperml	unnamed	0			0	0	0	species		
12	TDBt_ugperml	unnamed	0			0	0	0	species		
13	drugTpbact	unnamed	0			0	0	0	species		
14	drugBpbkill	unnamed	0			0	0	0	species		
15	restTtiss_perml	unnamed	0			0	0	0	species		
16	actTtiss_perml	unnamed	0			0	0	0	species		
17	Btiss_perml	unnamed	0			0	0	0	species		
18	restTpb_perml	unnamed	0			0	0	0	species		
19	actTpb_perml	unnamed	0			0	0	0	species		
20	Bpb_perml	unnamed	0			0	0	0	species		
21	BTrratio_pb	unnamed	0			0	0	0	species		
22	BTrratio_tiss	unnamed	0			0	0	0	species		
23	TaBratio_pb	unnamed	0			0	0	0	species		
24	TaBratio_tiss	unnamed	0			0	0	0	species		
25	Tafraction_pb	unnamed	0			0	0	0	species		
26	totTpb_perml	unnamed	0			0	0	0	species		
27	totTtiss_perml	unnamed	0			0	0	0	species		
28	act0Ttiss_perml	unnamed	0			0	0	0	species		
29	act0Tpb_perml	unnamed	0			0	0	0	species		
30	Tafraction_tiss	unnamed	0			0	0	0	species		
31	BAFF	unnamed	0.1			0	0	0	species		
32	Baffconsumption	unnamed	0			0	0	0	species		
33	act0Tpb	unnamed	0			0	0	0	species		
34	act0Ttiss	unnamed	0			0	0	0	species		
35	injection_effect	unnamed	0			0	0	0	species		
36	Btiss2	unnamed	0			0	0	0	species		
37	act0Tpb_1	unnamed	0			0	0	0	species		
38	Bpb_1	unnamed	0			0	0	0	species		
39	restTpb_1	unnamed	2000000			0	0	0	species		
40	actTpb_1	unnamed	0			0	0	0	species		
41	act0Ttiss2	unnamed	0			0	0	0	species		
