species_idx	reaction_idx	stoich_coeff	species_name	reaction_name
2	1	1	Btiss	Btiss_prolf
1	2	1	actTtiss	Ttiss_activn
7	2	-1	restTtiss	Ttiss_activn
2	3	-1	Btiss	Btiss_apop
3	4	-1	TDBc_ugperkg	`
3	5	-1	TDBc_ugperkg	TDBdistr
8	5	1	TDBp_ugperkg	TDBdistr
7	6	1	restTtiss	UnnamedReaction_6
7	8	1	restTtiss	restTtraffic
9	8	-1	restTpb	restTtraffic
9	9	1	restTpb	Tgen
2	10	1	Btiss	Btraffic
10	10	-1	Bpb	Btraffic
4	11	1	actTpb	Tpb_activn
9	11	-1	restTpb	Tpb_activn
10	12	1	Bpb	Bpb_prolif
10	13	-1	Bpb	Bpb_apop
10	16	-1	Bpb	Bpb_kill
2	17	-1	Btiss	Btiss_kill
9	18	-1	restTpb	restTpb_apop
1	19	1	actTtiss	actTtraffic
4	19	-1	actTpb	actTtraffic
4	20	-1	actTpb	actTpb_apop
31	21	-1	BAFF	BAFFcons
31	22	1	BAFF	BAFFprod
9	23	1	restTpb	act0Tpb_deact
33	23	-1	act0Tpb	act0Tpb_deact
4	24	1	actTpb	act0Tpb_activn
33	24	-1	act0Tpb	act0Tpb_activn
33	25	-1	act0Tpb	act0Tpb_apop
34	26	-1	act0Ttiss	act0Ttiss_apop
1	27	1	actTtiss	act0Ttiss_activn
34	27	-1	act0Ttiss	act0Ttiss_activn
7	28	1	restTtiss	act0Ttiss_deact
34	28	-1	act0Ttiss	act0Ttiss_deact
33	29	-1	act0Tpb	act0Ttraffic
34	29	1	act0Ttiss	act0Ttraffic
33	30	1	act0Tpb	actTpb_prolif
34	31	1	act0Ttiss	actTtiss_prolif
35	32	-1	injection_effect	UnnamedReaction_32
41	33	1	act0Ttiss2	actTtiss_prolif_2
33	34	-1	act0Tpb	act0Ttraffic_2
41	34	1	act0Ttiss2	act0Ttraffic_2
41	35	-1	act0Ttiss2	act0Ttiss_deact_2
42	35	1	restTtiss2	act0Ttiss_deact_2
41	36	-1	act0Ttiss2	act0Ttiss_activn_2
46	36	1	actTtiss2	act0Ttiss_activn_2
41	37	-1	act0Ttiss2	act0Ttiss_apop_2
4	38	-1	actTpb	actTtraffic_2
46	38	1	actTtiss2	actTtraffic_2
36	39	-1	Btiss2	Btiss_kill_2
10	40	-1	Bpb	Btraffic_2
36	40	1	Btiss2	Btraffic_2
9	41	-1	restTpb	restTtraffic_2
42	41	1	restTtiss2	restTtraffic_2
36	44	-1	Btiss2	Btiss_apop_2
42	45	-1	restTtiss2	Ttiss_activn_2
46	45	1	actTtiss2	Ttiss_activn_2
36	46	1	Btiss2	Btiss_prolf_2
55	47	-1	RTXc_ugperkg	RTXdistr
56	47	1	RTXp_ugperkg	RTXdistr
55	48	-1	RTXc_ugperkg	RTXclear
60	49	-1	drug_effect	UnnamedReaction_49
62	50	1	B19no20tiss3	B19no20tiss3_gen
61	51	1	B1920tiss3	B19n020tiss3_mat
62	51	-1	B19no20tiss3	B19n020tiss3_mat
10	52	1	Bpb	Btraffic_3_v1
61	52	-1	B1920tiss3	Btraffic_3_v1
62	53	-1	B19no20tiss3	B19no20tiss3_apop
61	54	-1	B1920tiss3	B1920tiss3_apop
9	55	-1	restTpb	restTtraffic_3
63	55	1	restTtiss3	restTtraffic_3
61	56	-1	B1920tiss3	B1920tiss3_kill
33	57	-1	act0Tpb	act0Ttraffic_3
64	57	1	act0Ttiss3	act0Ttraffic_3
4	58	-1	actTpb	actTtraffic_3
65	58	1	actTtiss3	actTtraffic_3
64	59	-1	act0Ttiss3	act0Ttiss_apop_3
64	60	-1	act0Ttiss3	act0Ttiss_activn_3
65	60	1	actTtiss3	act0Ttiss_activn_3
63	61	1	restTtiss3	act0Ttiss_deact_3
64	61	-1	act0Ttiss3	act0Ttiss_deact_3
63	62	-1	restTtiss3	Ttiss_activn_3
65	62	1	actTtiss3	Ttiss_activn_3
64	63	1	act0Ttiss3	actTtiss_prolif_3
62	65	-1	B19no20tiss3	Btiss3_19_kill
7	68	-1	restTtiss	restTtiss_apop_v24
42	69	-1	restTtiss2	restTtiss_apop_v24_2
1	70	-1	actTtiss	actTtiss_apop_v24
46	71	-1	actTtiss2	actTtiss_apop_v24_2
63	72	-1	restTtiss3	restTtiss_apop_v24_3
65	73	-1	actTtiss3	actTtiss_apop_v24_3
10	74	1	Bpb	Bpb_prolif_test
84	75	-1	Blinc_ug	Blinclear
61	84	1	B1920tiss3	B1920tiss3_prolf
62	85	1	B19no20tiss3	B19no20tiss3_prolif
102	86	1	restTtumor	act0Ttumor_deact
105	86	-1	act0Ttumor	act0Ttumor_deact
103	87	1	actTtumor	act0Ttumor_activn
105	87	-1	act0Ttumor	act0Ttumor_activn
105	88	1	act0Ttumor	actTtumor_prolif
102	89	-1	restTtumor	Ttumor_activn
103	89	1	actTtumor	Ttumor_activn
104	94	1	Btumor	Btumor_prolf
104	95	-1	Btumor	Btumor_apop
104	96	-1	Btumor	Btumor_kill
103	97	-1	actTtumor	actTtumor_apop_v24
10	98	-1	Bpb	Btraffic_tumor
104	98	1	Btumor	Btraffic_tumor
9	99	-1	restTpb	restTtraffic_tumor
102	99	1	restTtumor	restTtraffic_tumor
4	100	-1	actTpb	actTtraffic_tumor
103	100	1	actTtumor	actTtraffic_tumor
33	101	-1	act0Tpb	act0Ttraffic_tumor
105	101	1	act0Ttumor	act0Ttraffic_tumor
105	102	-1	act0Ttumor	act0Ttumor_apop
102	103	-1	restTtumor	restTtumor_apop_v24
3	104	1	TDBc_ugperkg	TDB_abs
124	104	-1	TDBsc_ugperkg	TDB_abs
124	105	-1	TDBsc_ugperkg	TDBSC_loss
125	106	1	TDBc_ugperml_AUC	UnnamedReaction_106
126	107	1	IL6pb	UnnamedReaction_107
126	108	-1	IL6pb	UnnamedReaction_108
127	109	1	IL6tiss	UnnamedReaction_109
127	110	-1	IL6tiss	UnnamedReaction_110
128	111	1	IL6tiss2	UnnamedReaction_111
128	112	-1	IL6tiss2	UnnamedReaction_112
129	113	1	IL6tiss3	UnnamedReaction_113
129	114	-1	IL6tiss3	UnnamedReaction_114
130	115	1	IL6tumor	UnnamedReaction_115
130	116	-1	IL6tumor	UnnamedReaction_116
