idx	name	value	constant
1	VmB	0.95	1
2	KmTB_kill	0.75	1
3	KdrugB	10	1
4	kBapop	0.03	1
5	kBprolif	0.7	1
6	kTprolif	0.7	1
7	kBkill	1	1
8	KdrugactT	50	1
9	VmT	0.9	1
10	KmBT_act	0.1	1
11	kTaexit	1	1
12	kTact	1	1
13	fTadeact	0	1
14	fTap	1	1
15	Cl_tdb	3	1
16	Cld_tdb	25	1
17	Vc_tdb	35	1
18	Vp_tdb	110	1
19	kTgen	1	1
20	kTaapop	0.5	1
21	KTrp	1	1
22	Trpbo_perml	2000000	1
23	fTaprolif	2	1
24	fBprolif	0	1
25	Bpbo_perml	1000000	1
26	fBexit	1	1
27	KBp	1	1
28	Kp	0.14	1
29	Vpb	40	1
30	Vtissue	40	1
31	fTrapop	0.1	1
32	Trpbref_perml	2000000	1
33	nkill	2	1
34	KTrp2	0.02	1
35	Vm_tdb	212	1
36	Km_tdb	4.74	1
37	BW	3.4	1
38	act0on	1	1
39	kIL6prod	1	1
40	fa0	0.5	1
41	fAICD	1	1
42	kBAFFprod	1	1
43	Bpbref_perml	1000000	1
44	thBAFF	30	1
45	thalfIL6	20	1
46	fTa0deact	1	1
47	fTa0apop	1	1
48	BAFFo	1	1
49	fBAFFo	0.1	1
50	tinjhalf	1	1
51	finj	0.1	1
52	KBp2	1	1
53	Vtissue2	1	1
54	Kp2	0.07	1
55	tissue2on	0	1
56	Vc_rtx	28	1
57	Vp_rtx	9	1
58	Cl_rtx	8	1
59	Cld_rtx	23	1
60	Vm_rtx	0	1
61	Km_rtx	1	1
62	Kmkill_rtx	25	1
63	fTgenbl	0	1
64	depleteTpb	0	1
65	depleteBpb	0	1
66	kTrexit	1	1
67	PKflag	1	1
68	VPid	1	1
69	end_time	1	1
70	fdrug	1	1
71	Vtissue3	1	1
72	KTrp3	500	1
73	tissue3on	0	1
74	Kp3	0.07	1
75	kBtiss3exit	0.03	1
76	KBp3	600	1
77	B19no20_B1920_ratio	0.25	1
78	fvalidation	0	1
79	fapop_v24	0	1
80	fBtissue3_v1	1	1
81	kBmat_kBapop_ratio	0.25	1
82	ndrugactT	1	1
83	Cl_blin	22300	1
84	Vz_blin	1610	1
85	KdrugactT_blin	0.1	1
86	ndrugactT_blin	1	1
87	KmTB_kill_blin	0.75	1
88	KdrugB_blin	0.015	1
89	nkill_blin	1.027	1
90	KmBT_act_blin	0.716	1
91	kBapop_cll	1	1
92	kBgen_cll	1	1
93	fBkill	1	1
94	fTact	1	1
95	fKmTB_kill	1	1
96	Kptumor	1	1
97	Vtumor	1	1
98	KBptumor	1	1
99	KTrptumor	1	1
100	tumor_on	0	1
101	IL6_tiss_contribution	0.02	1
102	kBtumorprolif	0.025	1
103	S	1	1
104	tissue1on	1	1
105	kabs_TDB	1.4	1
106	fbio_TDB	0.6	1
107	Bcell_tumor_trafficking_on	1	1
