idx	reaction	rate
1	Btiss -> 2 Btiss	kBprolif*KBp*Bpbref_perml*Vtissue*(max(0, 1 - Btiss/(KBp*Bpbref_perml*Vtissue)))^1
2	restTtiss + drugTtissact + BlinTtissact <-> actTtiss + drugTtissact + BlinTtissact	kTact*((drugTtissact+BlinTtissact)*restTtiss-fTadeact*actTtiss)
3	Btiss -> null	0*fBprolif*kBprolif*Btiss*kBapop_cll
4	TDBc_ugperkg <-> null	(Cl_tdb+Vm_tdb/(Km_tdb+TDBc_ugperkg/Vc_tdb)/BW)/Vc_tdb*TDBc_ugperkg
5	TDBc_ugperkg <-> TDBp_ugperkg	Cld_tdb*(TDBc_ugperkg/Vc_tdb-TDBp_ugperkg/Vp_tdb)
6	restTtiss + Btiss + drugTtissact + TDBt_ugperml -> restTtiss + Btiss + drugTtissact + TDBt_ugperml + restTtiss	0
7	actTtiss + Btiss + drugBtisskill + TDBt_ugperml -> actTtiss + Btiss + drugBtisskill + TDBt_ugperml	0
8	restTpb + injection_effect + drug_effect <-> restTtiss + injection_effect + drug_effect	tissue1on*kTrexit*Vpb*((1+finj*injection_effect+fdrug*drug_effect)*restTpb/Vpb*KTrp-restTtiss/Vtissue)
9	totTpb_perml -> restTpb + totTpb_perml	kTgen*Vpb*Trpbref_perml*(fTgenbl+max(0,1-totTpb_perml/Trpbref_perml)^2)
10	Bpb -> Btiss	tissue1on*fBexit*kTaexit*Vpb*max(0, Bpb/Vpb*KBp-Btiss/Vtissue)
11	restTpb + drugTpbact + BlinTpbact <-> actTpb + drugTpbact + BlinTpbact	kTact*((drugTpbact+BlinTpbact)*restTpb-fTadeact*actTpb)
12	Bpb -> 2 Bpb	tissue3on*fBtissue3_v1*kBapop*Bpb*kBapop_cll
13	Bpb -> null	kBapop*Bpb*kBapop_cll
14	TDBc_ugperml + drugTpbact + Bpb -> TDBc_ugperml + drugTpbact + Bpb	0
15	TDBc_ugperml + actTpb + drugBpbkill + Bpb -> TDBc_ugperml + actTpb + drugBpbkill + Bpb	0
16	actTpb + drugBpbkill + Bpb + RTXc_ugperml + BlinBpbkill -> actTpb + drugBpbkill + RTXc_ugperml + BlinBpbkill	kBkill*(drugBpbkill + BlinBpbkill + RTXc_ugperml/(Kmkill_rtx/1000+RTXc_ugperml))*Bpb
17	actTtiss + drugBtisskill + Btiss + RTXt_ugperml + BlinBtisskill -> actTtiss + drugBtisskill + RTXt_ugperml + BlinBtisskill	fBkill*kBkill*(drugBtisskill + BlinBtisskill + RTXt_ugperml/(Kmkill_rtx/1000+RTXt_ugperml))*Btiss
18	restTpb -> null	kTgen*fTgenbl*restTpb + fTrapop*kTaapop*max(0,restTpb-Trpbref_perml*Vpb)
19	actTpb + injection_effect + drug_effect <-> actTtiss + injection_effect + drug_effect	tissue1on*kTaexit*Vpb*((1+fa0*(finj*injection_effect+fdrug*drug_effect))*actTpb/Vpb*KTrp*fTap-actTtiss/Vtissue)
20	actTpb -> null	kTaapop*(actTpb + fAICD*actTpb^2/(Vpb*Trpbref_perml))
21	BAFF + Btiss + Bpb + Btiss2 -> Btiss + Bpb + Btiss2	log(2)/(thBAFF/24/60)*(fBAFFo*BAFF/BAFFo+(1-fBAFFo)*(Btiss+ Bpb + Btiss2)/(Bpbref_perml*(Vpb+KBp*Vtissue + KBp2*Vtissue2)))
