idx	name	initial_amount	boundary	constant
1	actTtiss	0	0	0
2	Btiss	0	0	0
3	TDBc_ugperkg	0	0	0
4	actTpb	0	0	0
5	drugBtisskill	0	0	0
6	drugTtissact	0	0	0
7	restTtiss	0	0	0
8	TDBp_ugperkg	0	0	0
9	restTpb	2e+06	0	0
10	Bpb	0	0	0
11	TDBc_ugperml	0	0	0
12	TDBt_ugperml	0	0	0
13	drugTpbact	0	0	0
14	drugBpbkill	0	0	0
15	restTtiss_perml	0	0	0
16	actTtiss_perml	0	0	0
17	Btiss_perml	0	0	0
18	restTpb_perml	0	0	0
19	actTpb_perml	0	0	0
20	Bpb_perml	0	0	0
21	BTrratio_pb	0	0	0
22	BTrratio_tiss	0	0	0
23	TaBratio_pb	0	0	0
24	TaBratio_tiss	0	0	0
25	Tafraction_pb	0	0	0
26	totTpb_perml	0	0	0
27	totTtiss_perml	0	0	0
28	act0Ttiss_perml	0	0	0
29	act0Tpb_perml	0	0	0
30	Tafraction_tiss	0	0	0
31	BAFF	0.1	0	0
32	Baffconsumption	0	0	0
33	act0Tpb	0	0	0
34	act0Ttiss	0	0	0
35	injection_effect	0	0	0
36	Btiss2	0	0	0
37	act0Tpb_1	0	0	0
38	Bpb_1	0	0	0
39	restTpb_1	2e+06	0	0
40	actTpb_1	0	0	0
41	act0Ttiss2	0	0	0
42	restTtiss2	0	0	0
43	TDBt2_ugperml	0	0	0
44	drugTtissact2	0	0	0
45	drugBtisskill2	0	0	0
46	actTtiss2	0	0	0
47	Tafraction_tiss2	0	0	0
48	act0Ttiss2_perml	0	0	0
49	totTtiss2_perml	0	0	0
50	TaBratio_tiss2	0	0	0
51	BTrratio_tiss2	0	0	0
52	Btiss2_perml	0	0	0
53	actTtiss2_perml	0	0	0
54	restTtiss2_perml	0	0	0
55	RTXc_ugperkg	0	0	0
56	RTXp_ugperkg	0	0	0
57	RTXc_ugperml	0	0	0
58	RTXt_ugperml	0	0	0
59	RTXt2_ugperml	0	0	0
60	drug_effect	0	0	0
61	B1920tiss3	0	0	0
62	B19no20tiss3	0	0	0
63	restTtiss3	0	0	0
64	act0Ttiss3	0	0	0
65	actTtiss3	0	0	0
66	drugTtissact3	0	0	0
67	TDBt3_ugperml	0	0	0
68	B19Trratio_tiss3	0	0	0
69	B19tiss3	0	0	0
70	restTtiss3_perml	0	0	0
71	act0Ttiss3_perml	0	0	0
72	actTtiss3_perml	0	0	0
73	B19tiss3_perml	0	0	0
74	Tafraction_tiss3	0	0	0
75	totTtiss3_perml	0	0	0
76	TaB19ratio_tiss3	0	0	0
77	B19TtotRatio_tiss3	0	0	0
78	RTXt3_ugperml	0	0	0
79	drugBtisskill3	0	0	0
80	TaB1920ratio_tiss3	0	0	0
81	B1920tiss3_perml	0	0	0
82	B1920Trratio_tiss3	0	0	0
83	B19no20tiss3_perml	0	0	0
84	Blinc_ug	0	0	0
85	Blinc_ngperml	0	0	0
86	BlinTpbact	0	0	0
87	BlinBpbkill	0	0	0
88	BlinTtissact	0	0	0
89	BlinBtisskill	0	0	0
90	Blint_ngperml	0	0	0
91	Blint2_ngperml	0	0	0
92	BlinBtisskill2	0	0	0
93	BlinTtissact2	0	0	0
94	BlinBtisskill3	0	0	0
95	Blint3_ngperml	0	0	0
96	BlinTtissact3	0	0	0
97	Bpb_norm	0	0	0
98	Tafraction_pb_init	0	0	0
99	totTtiss	0	0	0
100	totTtiss2	0	0	0
101	totTtiss3	0	0	0
102	restTtumor	0	0	0
103	actTtumor	0	0	0
104	Btumor	0	0	0
105	act0Ttumor	0	0	0
106	drugTtumoract	0	0	0
107	drugBtumorkill	0	0	0
108	BlinTtumoract	0	0	0
109	BlinBtumorkill	0	0	0
110	TDBtumor_ugperml	0	0	0
111	restTtumor_perml	0	0	0
112	act0Ttumor_perml	0	0	0
113	actTtumor_perml	0	0	0
114	Btumor_perml	0	0	0
115	Tafraction_tumor	0	0	0
116	BTrratio_tumor	0	0	0
117	TaBratio_tumor	0	0	0
118	totTtumor	0	0	0
119	totTtumor_perml	0	0	0
120	Blintumor_ngperml	0	0	0
121	RTXtumor_ugperml	0	0	0
122	BTtotRatio_tiss	0	0	0
123	BTtotRatio_tiss2	0	0	0
124	TDBsc_ugperkg	0	0	0
125	TDBc_ugperml_AUC	0	0	0
126	IL6pb	0	0	0
127	IL6tiss	0	0	0
128	IL6tiss2	0	0	0
129	IL6tiss3	0	0	0
130	IL6tumor	0	0	0
131	IL6combo	0	0	0
