idx	variant	content_index	action	class	name	value
1	act0 unopt	1	parameter	fTaprolif	Value	0.65
1	act0 unopt	2	parameter	kTaapop	Value	0.05
1	act0 unopt	3	parameter	fTrapop	Value	5000
1	act0 unopt	4	parameter	fTa0apop	Value	1
1	act0 unopt	5	parameter	fa0	Value	0
1	act0 unopt	6	parameter	fAICD	Value	1
1	act0 unopt	7	parameter	kTact	Value	4
1	act0 unopt	8	parameter	fTadeact	Value	0.01
1	act0 unopt	9	parameter	fTa0deact	Value	0.1
1	act0 unopt	10	parameter	kBkill	Value	10000
1	act0 unopt	11	parameter	kTaexit	Value	100
1	act0 unopt	12	parameter	finj	Value	0.1
1	act0 unopt	13	parameter	fBexit	Value	0
1	act0 unopt	14	parameter	kTgen	Value	0
1	act0 unopt	15	parameter	KdrugactT	Value	150
1	act0 unopt	16	parameter	KdrugB	Value	10
1	act0 unopt	17	parameter	KmBT_act	Value	1
1	act0 unopt	18	parameter	nkill	Value	2
1	act0 unopt	19	parameter	Trpbo_perml	Value	2000000
1	act0 unopt	20	parameter	Bpbo_perml	Value	1000000
1	act0 unopt	21	parameter	kBapop	Value	0.015
1	act0 unopt	22	parameter	kBprolif	Value	0.7
1	act0 unopt	23	parameter	fBprolif	Value	0
1	act0 unopt	24	parameter	act0on	Value	1
2	combo tissues 1	1	parameter	Vpb	Value	380
2	combo tissues 1	2	parameter	Trpbo_perml	Value	2000000
2	combo tissues 1	3	parameter	Trpbref_perml	Value	2000000
2	combo tissues 1	4	parameter	Bpbo_perml	Value	1000000
2	combo tissues 1	5	parameter	Bpbref_perml	Value	1000000
2	combo tissues 1	6	parameter	tissue1on	Value	1
2	combo tissues 1	7	parameter	Vtissue	Value	7
2	combo tissues 1	8	parameter	KTrp	Value	500
2	combo tissues 1	9	parameter	fTap	Value	11.1
2	combo tissues 1	10	parameter	KBp	Value	900
2	combo tissues 1	11	parameter	tissue2on	Value	1
2	combo tissues 1	12	parameter	Vtissue2	Value	25
2	combo tissues 1	13	parameter	KTrp2	Value	500
2	combo tissues 1	14	parameter	KBp2	Value	600
3	act optimizn 1	1	parameter	fTaprolif	Value	0.63
3	act optimizn 1	2	parameter	kTaapop	Value	0.05
3	act optimizn 1	3	parameter	fTrapop	Value	3.8
3	act optimizn 1	4	parameter	fTa0apop	Value	1.3
3	act optimizn 1	5	parameter	fa0	Value	0.26
3	act optimizn 1	6	parameter	fAICD	Value	1
3	act optimizn 1	7	parameter	kTact	Value	9.23
3	act optimizn 1	8	parameter	fTadeact	Value	0.1
3	act optimizn 1	9	parameter	fTa0deact	Value	0.02
3	act optimizn 1	10	parameter	kBkill	Value	915
3	act optimizn 1	11	parameter	kTaexit	Value	6577
3	act optimizn 1	12	parameter	fBexit	Value	0
3	act optimizn 1	13	parameter	kTgen	Value	1
3	act optimizn 1	14	parameter	KdrugactT	Value	122
3	act optimizn 1	15	parameter	KdrugB	Value	0.3
3	act optimizn 1	16	parameter	KmBT_act	Value	0.43
3	act optimizn 1	17	parameter	nkill	Value	1
3	act optimizn 1	18	parameter	Trpbo_perml	Value	2000000
3	act optimizn 1	19	parameter	Bpbo_perml	Value	1000000
3	act optimizn 1	20	parameter	kBapop	Value	0.015
3	act optimizn 1	21	parameter	kBprolif	Value	0.7
3	act optimizn 1	22	parameter	fBprolif	Value	0
3	act optimizn 1	23	parameter	act0on	Value	1
3	act optimizn 1	24	parameter	finj	Value	0.66
4	act optimizn 2a	1	parameter	fTaprolif	Value	9.5
4	act optimizn 2a	2	parameter	kTaapop	Value	0.4
4	act optimizn 2a	3	parameter	fTrapop	Value	33
4	act optimizn 2a	4	parameter	fTa0apop	Value	3.2
4	act optimizn 2a	5	parameter	fa0	Value	0.54
4	act optimizn 2a	6	parameter	fAICD	Value	1
4	act optimizn 2a	7	parameter	kTact	Value	7.6
4	act optimizn 2a	8	parameter	fTadeact	Value	0.001
4	act optimizn 2a	9	parameter	fTa0deact	Value	1
4	act optimizn 2a	10	parameter	kBkill	Value	470
4	act optimizn 2a	11	parameter	kTaexit	Value	1
4	act optimizn 2a	12	parameter	fBexit	Value	0
4	act optimizn 2a	13	parameter	kTgen	Value	1
4	act optimizn 2a	14	parameter	KdrugactT	Value	40
4	act optimizn 2a	15	parameter	KdrugB	Value	7.5
4	act optimizn 2a	16	parameter	KmBT_act	Value	5.7
4	act optimizn 2a	17	parameter	nkill	Value	1
4	act optimizn 2a	18	parameter	Trpbo_perml	Value	2000000
4	act optimizn 2a	19	parameter	Bpbo_perml	Value	1000000
4	act optimizn 2a	20	parameter	kBapop	Value	0.015
4	act optimizn 2a	21	parameter	kBprolif	Value	0.7
4	act optimizn 2a	22	parameter	fBprolif	Value	0
4	act optimizn 2a	23	parameter	act0on	Value	1
4	act optimizn 2a	24	parameter	finj	Value	0.2
5	combo tissues 2a	1	parameter	Vpb	Value	380
5	combo tissues 2a	2	parameter	Trpbo_perml	Value	2000000
5	combo tissues 2a	3	parameter	Trpbref_perml	Value	2000000
5	combo tissues 2a	4	parameter	Bpbo_perml	Value	1000000
5	combo tissues 2a	5	parameter	Bpbref_perml	Value	1000000
5	combo tissues 2a	6	parameter	tissue1on	Value	1
5	combo tissues 2a	7	parameter	Vtissue	Value	7
5	combo tissues 2a	8	parameter	KTrp	Value	500
5	combo tissues 2a	9	parameter	fTap	Value	2.4
5	combo tissues 2a	10	parameter	KBp	Value	900
5	combo tissues 2a	11	parameter	tissue2on	Value	1
5	combo tissues 2a	12	parameter	Vtissue2	Value	25
5	combo tissues 2a	13	parameter	KTrp2	Value	500
5	combo tissues 2a	14	parameter	KBp2	Value	600
6	act optimizn 2b	1	parameter	fTaprolif	Value	3.76
6	act optimizn 2b	2	parameter	kTaapop	Value	0.3
6	act optimizn 2b	3	parameter	fTrapop	Value	446
6	act optimizn 2b	4	parameter	fTa0apop	Value	0.3
6	act optimizn 2b	5	parameter	fa0	Value	0.24
6	act optimizn 2b	6	parameter	fAICD	Value	1
