idx	variant_name	f1	f2	f3	f4
1	act0 unopt	parameter	fTaprolif	Value	0.65
1	act0 unopt	parameter	kTaapop	Value	0.05
1	act0 unopt	parameter	fTrapop	Value	5000
1	act0 unopt	parameter	fTa0apop	Value	1
1	act0 unopt	parameter	fa0	Value	0
1	act0 unopt	parameter	fAICD	Value	1
1	act0 unopt	parameter	kTact	Value	4
1	act0 unopt	parameter	fTadeact	Value	0.01
1	act0 unopt	parameter	fTa0deact	Value	0.1
1	act0 unopt	parameter	kBkill	Value	10000
1	act0 unopt	parameter	kTaexit	Value	100
1	act0 unopt	parameter	finj	Value	0.1
1	act0 unopt	parameter	fBexit	Value	0
1	act0 unopt	parameter	kTgen	Value	0
1	act0 unopt	parameter	KdrugactT	Value	150
1	act0 unopt	parameter	KdrugB	Value	10
1	act0 unopt	parameter	KmBT_act	Value	1
1	act0 unopt	parameter	nkill	Value	2
1	act0 unopt	parameter	Trpbo_perml	Value	2000000
1	act0 unopt	parameter	Bpbo_perml	Value	1000000
1	act0 unopt	parameter	kBapop	Value	0.015
1	act0 unopt	parameter	kBprolif	Value	0.7
1	act0 unopt	parameter	fBprolif	Value	0
1	act0 unopt	parameter	act0on	Value	1
2	combo tissues 1	parameter	Vpb	Value	380
2	combo tissues 1	parameter	Trpbo_perml	Value	2000000
2	combo tissues 1	parameter	Trpbref_perml	Value	2000000
2	combo tissues 1	parameter	Bpbo_perml	Value	1000000
2	combo tissues 1	parameter	Bpbref_perml	Value	1000000
2	combo tissues 1	parameter	tissue1on	Value	1
2	combo tissues 1	parameter	Vtissue	Value	7
2	combo tissues 1	parameter	KTrp	Value	500
2	combo tissues 1	parameter	fTap	Value	11.1
2	combo tissues 1	parameter	KBp	Value	900
2	combo tissues 1	parameter	tissue2on	Value	1
2	combo tissues 1	parameter	Vtissue2	Value	25
2	combo tissues 1	parameter	KTrp2	Value	500
2	combo tissues 1	parameter	KBp2	Value	600
3	act optimizn 1	parameter	fTaprolif	Value	0.63
3	act optimizn 1	parameter	kTaapop	Value	0.05
3	act optimizn 1	parameter	fTrapop	Value	3.8
3	act optimizn 1	parameter	fTa0apop	Value	1.3
3	act optimizn 1	parameter	fa0	Value	0.26
3	act optimizn 1	parameter	fAICD	Value	1
3	act optimizn 1	parameter	kTact	Value	9.23
3	act optimizn 1	parameter	fTadeact	Value	0.1
3	act optimizn 1	parameter	fTa0deact	Value	0.02
3	act optimizn 1	parameter	kBkill	Value	915
3	act optimizn 1	parameter	kTaexit	Value	6577
3	act optimizn 1	parameter	fBexit	Value	0
3	act optimizn 1	parameter	kTgen	Value	1
3	act optimizn 1	parameter	KdrugactT	Value	122
3	act optimizn 1	parameter	KdrugB	Value	0.3
3	act optimizn 1	parameter	KmBT_act	Value	0.43
3	act optimizn 1	parameter	nkill	Value	1
3	act optimizn 1	parameter	Trpbo_perml	Value	2000000
3	act optimizn 1	parameter	Bpbo_perml	Value	1000000
3	act optimizn 1	parameter	kBapop	Value	0.015
3	act optimizn 1	parameter	kBprolif	Value	0.7
3	act optimizn 1	parameter	fBprolif	Value	0
3	act optimizn 1	parameter	act0on	Value	1
3	act optimizn 1	parameter	finj	Value	0.66
4	act optimizn 2a	parameter	fTaprolif	Value	9.5
4	act optimizn 2a	parameter	kTaapop	Value	0.4
4	act optimizn 2a	parameter	fTrapop	Value	33
4	act optimizn 2a	parameter	fTa0apop	Value	3.2
4	act optimizn 2a	parameter	fa0	Value	0.54
4	act optimizn 2a	parameter	fAICD	Value	1
4	act optimizn 2a	parameter	kTact	Value	7.6
4	act optimizn 2a	parameter	fTadeact	Value	0.001
4	act optimizn 2a	parameter	fTa0deact	Value	1
4	act optimizn 2a	parameter	kBkill	Value	470
4	act optimizn 2a	parameter	kTaexit	Value	1
4	act optimizn 2a	parameter	fBexit	Value	0
4	act optimizn 2a	parameter	kTgen	Value	1
4	act optimizn 2a	parameter	KdrugactT	Value	40
4	act optimizn 2a	parameter	KdrugB	Value	7.5
4	act optimizn 2a	parameter	KmBT_act	Value	5.7
4	act optimizn 2a	parameter	nkill	Value	1
4	act optimizn 2a	parameter	Trpbo_perml	Value	2000000
4	act optimizn 2a	parameter	Bpbo_perml	Value	1000000
4	act optimizn 2a	parameter	kBapop	Value	0.015
4	act optimizn 2a	parameter	kBprolif	Value	0.7
4	act optimizn 2a	parameter	fBprolif	Value	0
4	act optimizn 2a	parameter	act0on	Value	1
4	act optimizn 2a	parameter	finj	Value	0.2
5	combo tissues 2a	parameter	Vpb	Value	380
5	combo tissues 2a	parameter	Trpbo_perml	Value	2000000
5	combo tissues 2a	parameter	Trpbref_perml	Value	2000000
