name,value
VmT,0.9
fTact,0.25
KmBT_act,0.716
ndrugactT,0.8
S,1.4
KdrugactT,130.083
VmB,0.95
KmTB_kill,0.75
fKmTB_kill,10.0
nkill,1.027
KdrugB,1.302
Cl_tdb,5.4
Cld_tdb,24.17
Vc_tdb,36.78
Vp_tdb,173.47
KmBT_act_blin,0.716
ndrugactT_blin,1.0
KdrugactT_blin,0.1
KmTB_kill_blin,0.75
nkill_blin,1.027
KdrugB_blin,0.15
Cl_blin,22300.0
Vz_blin,1610.0
kBapop,0.02
kBkill,275.189
fBkill,0.1
kBprolif,0.05
kTprolif,0.7
kTaexit,0.123
kTact,9.828
fTadeact,0.005
fTap,3.773
kTaapop,0.061
fTaprolif,2.106
fTrapop,0.2
kTrexit,0.045
fdrug,6.3839
fa0,0.002
fAICD,1.497
fTa0deact,0.001
fTa0apop,2.019
finj,1.0
Trpbref_perml,500000.0
Bpbref_perml,500000.0
Vpb,5000.0
Trtiss_perml,100000000.0
Btiss_perml,166500000.0
Vtissue,210.0
KTrp,200.0
KBp,333.0
Kp,0.14
Trtiss2_perml,95000000.0
Btiss2_perml,95000000.0
Vtissue2,400.0
KTrp2,190.0
KBp2,190.0
Kp2,0.07
Trtiss3_perml,30000000.0
B1920tiss3_perml,40000000.0
B19no20tiss3_perml,10000000.0
B19tiss3_perml,50000000.0
Vtissue3,500.0
KTrp3,60.0
KBp3,80.0
Kp3,0.07
kBmat_kBapop_ratio,0.25
B19no20_B1920_ratio,0.25
tumor_on,1.0
Trtumor_perml,62500000.0
Btumor_perml,3250000000.0
Vtumor,49.6
KTrptumor,125.0
KBptumor,6500.0
Kptumor,0.05
kBtumorprolif,0.025
kIL6prod,14.0
IL6_tiss_contribution,0.0004
thalfIL6,20.0
