regimen,regimen_type,event_idx,time_day,dose_mg
fixed_0.05mg,fixed_q3w,1,0.0,0.05
fixed_0.05mg,fixed_q3w,2,21.0,0.05
fixed_0.05mg,fixed_q3w,3,42.0,0.05
fixed_0.05mg,fixed_q3w,4,63.0,0.05
fixed_0.2mg,fixed_q3w,1,0.0,0.2
fixed_0.2mg,fixed_q3w,2,21.0,0.2
fixed_0.2mg,fixed_q3w,3,42.0,0.2
fixed_0.2mg,fixed_q3w,4,63.0,0.2
fixed_0.4mg,fixed_q3w,1,0.0,0.4
fixed_0.4mg,fixed_q3w,2,21.0,0.4
fixed_0.4mg,fixed_q3w,3,42.0,0.4
fixed_0.4mg,fixed_q3w,4,63.0,0.4
fixed_0.8mg,fixed_q3w,1,0.0,0.8
fixed_0.8mg,fixed_q3w,2,21.0,0.8
fixed_0.8mg,fixed_q3w,3,42.0,0.8
fixed_0.8mg,fixed_q3w,4,63.0,0.8
fixed_1.2mg,fixed_q3w,1,0.0,1.2
fixed_1.2mg,fixed_q3w,2,21.0,1.2
fixed_1.2mg,fixed_q3w,3,42.0,1.2
fixed_1.2mg,fixed_q3w,4,63.0,1.2
fixed_1.6mg,fixed_q3w,1,0.0,1.6
fixed_1.6mg,fixed_q3w,2,21.0,1.6
fixed_1.6mg,fixed_q3w,3,42.0,1.6
fixed_1.6mg,fixed_q3w,4,63.0,1.6
fixed_2mg,fixed_q3w,1,0.0,2.0
fixed_2mg,fixed_q3w,2,21.0,2.0
fixed_2mg,fixed_q3w,3,42.0,2.0
fixed_2mg,fixed_q3w,4,63.0,2.0
fixed_2.8mg,fixed_q3w,1,0.0,2.8
fixed_2.8mg,fixed_q3w,2,21.0,2.8
fixed_2.8mg,fixed_q3w,3,42.0,2.8
fixed_2.8mg,fixed_q3w,4,63.0,2.8
step_0.4_1_2.8mg,stepup_q3w,1,0.0,0.4
step_0.4_1_2.8mg,stepup_q3w,2,7.0,1.0
step_0.4_1_2.8mg,stepup_q3w,3,14.0,2.8
step_0.4_1_2.8mg,stepup_q3w,4,21.0,2.8
step_0.4_1_2.8mg,stepup_q3w,5,42.0,2.8
step_0.4_1_2.8mg,stepup_q3w,6,63.0,2.8
step_0.8_2_4.2mg,stepup_q3w,1,0.0,0.8
step_0.8_2_4.2mg,stepup_q3w,2,7.0,2.0
step_0.8_2_4.2mg,stepup_q3w,3,14.0,4.2
step_0.8_2_4.2mg,stepup_q3w,4,21.0,4.2
step_0.8_2_4.2mg,stepup_q3w,5,42.0,4.2
step_0.8_2_4.2mg,stepup_q3w,6,63.0,4.2
step_1_1_3mg,stepup_q3w,1,0.0,1.0
step_1_1_3mg,stepup_q3w,2,7.0,1.0
step_1_1_3mg,stepup_q3w,3,14.0,3.0
step_1_1_3mg,stepup_q3w,4,21.0,3.0
step_1_1_3mg,stepup_q3w,5,42.0,3.0
step_1_1_3mg,stepup_q3w,6,63.0,3.0
step_1_2_6mg,stepup_q3w,1,0.0,1.0
step_1_2_6mg,stepup_q3w,2,7.0,2.0
step_1_2_6mg,stepup_q3w,3,14.0,6.0
step_1_2_6mg,stepup_q3w,4,21.0,6.0
step_1_2_6mg,stepup_q3w,5,42.0,6.0
step_1_2_6mg,stepup_q3w,6,63.0,6.0
step_0.8_2_6mg,stepup_q3w,1,0.0,0.8
step_0.8_2_6mg,stepup_q3w,2,7.0,2.0
step_0.8_2_6mg,stepup_q3w,3,14.0,6.0
step_0.8_2_6mg,stepup_q3w,4,21.0,6.0
step_0.8_2_6mg,stepup_q3w,5,42.0,6.0
step_0.8_2_6mg,stepup_q3w,6,63.0,6.0
step_1_2_9mg,stepup_q3w,1,0.0,1.0
step_1_2_9mg,stepup_q3w,2,7.0,2.0
step_1_2_9mg,stepup_q3w,3,14.0,9.0
step_1_2_9mg,stepup_q3w,4,21.0,9.0
step_1_2_9mg,stepup_q3w,5,42.0,9.0
step_1_2_9mg,stepup_q3w,6,63.0,9.0
step_1_2_13.5mg,stepup_q3w,1,0.0,1.0
step_1_2_13.5mg,stepup_q3w,2,7.0,2.0
step_1_2_13.5mg,stepup_q3w,3,14.0,13.5
step_1_2_13.5mg,stepup_q3w,4,21.0,13.5
step_1_2_13.5mg,stepup_q3w,5,42.0,13.5
step_1_2_13.5mg,stepup_q3w,6,63.0,13.5
step_1_2_20mg,stepup_q3w,1,0.0,1.0
step_1_2_20mg,stepup_q3w,2,7.0,2.0
step_1_2_20mg,stepup_q3w,3,14.0,20.0
step_1_2_20mg,stepup_q3w,4,21.0,20.0
step_1_2_20mg,stepup_q3w,5,42.0,20.0
step_1_2_20mg,stepup_q3w,6,63.0,20.0
step_1_2_27mg,stepup_q3w,1,0.0,1.0
step_1_2_27mg,stepup_q3w,2,7.0,2.0
step_1_2_27mg,stepup_q3w,3,14.0,27.0
step_1_2_27mg,stepup_q3w,4,21.0,27.0
step_1_2_27mg,stepup_q3w,5,42.0,27.0
step_1_2_27mg,stepup_q3w,6,63.0,27.0
