index,engine,regimen,median,mean,std
0,Julia,fixed_0.05mg,0.013627393169063064,0.07807799090506733,0.13898935583577446
1,Julia,fixed_0.2mg,0.08911468580796386,0.14239313967316003,0.12443252015854264
2,Julia,fixed_0.4mg,0.15871214954937268,0.19828195736868828,0.10302062540774636
3,Julia,fixed_0.8mg,0.23687345456647274,0.26043300948399767,0.06248819693686751
4,Julia,fixed_1.2mg,0.2781505825338074,0.29397342439722113,0.047491525833021846
5,Julia,fixed_1.6mg,0.3128240817229128,0.32733754505049845,0.047020155413406914
6,Julia,fixed_2.8mg,0.37574520790642674,0.3918342022089736,0.04188150968192517
7,Julia,fixed_2mg,0.33886922222618965,0.3537317208795465,0.04517213801379628
8,Julia,step_0.4_1_2.8mg,0.14488072998721108,0.16120035952960282,0.047073077343692635
9,Julia,step_0.8_2_4.2mg,0.22286584923620686,0.2383959123456021,0.04432674358124846
10,Julia,step_0.8_2_6mg,0.22234311881300722,0.23755098287973622,0.04310445645637077
11,Julia,step_1_1_3mg,0.25159092832790675,0.2669371996864379,0.04576511979284876
12,Julia,step_1_2_13.5mg,0.2486179296447439,0.2618517429897003,0.038417362843146695
13,Julia,step_1_2_20mg,0.24861793111096228,0.2603489129307042,0.03607423459919049
14,Julia,step_1_2_27mg,0.24861793227401877,0.2591210047843481,0.0342059647911636
15,Julia,step_1_2_6mg,0.24977990016724974,0.2645105308443724,0.04231686535211324
16,Julia,step_1_2_9mg,0.2490253313584045,0.2632717371709299,0.0405504929897654
17,MATLAB,fixed_0.05mg,0.024759113004876765,0.0837733939795513,0.13899707150039795
18,MATLAB,fixed_0.2mg,0.12281837194757585,0.16371868376919912,0.12337363518687748
19,MATLAB,fixed_0.4mg,0.2105091922523148,0.23037559744115588,0.1021220177719726
20,MATLAB,fixed_0.8mg,0.31003168350720545,0.2956846837016882,0.06726162415511652
21,MATLAB,fixed_1.2mg,0.33535649284026514,0.33828988154651624,0.0728240230812043
22,MATLAB,fixed_1.6mg,0.37153307550644155,0.3743380227891862,0.07181539081282522
23,MATLAB,fixed_2.8mg,0.4381538537049075,0.4368703387920603,0.06392153892517122
24,MATLAB,fixed_2mg,0.3990194051039515,0.4009644771780214,0.06959560660529666
25,MATLAB,step_0.4_1_2.8mg,0.1795135754834346,0.1830820890848963,0.05056215626109786
26,MATLAB,step_0.8_2_4.2mg,0.2664878266269112,0.25997156827368356,0.04600683030680442
27,MATLAB,step_0.8_2_6mg,0.2664878266269112,0.25961736683834974,0.04544801744722227
28,MATLAB,step_1_1_3mg,0.2969202227261424,0.2973928874412169,0.05503433566624991
29,MATLAB,step_1_2_13.5mg,0.29692022272614216,0.2898724214007305,0.04736406832731181
30,MATLAB,step_1_2_20mg,0.2969202227261421,0.28987242140073016,0.04736406832731146
31,MATLAB,step_1_2_27mg,0.2969202227261421,0.28987242140073016,0.047364068327311465
32,MATLAB,step_1_2_6mg,0.2969202227261421,0.2901672460822705,0.04783233313194884
33,MATLAB,step_1_2_9mg,0.2969202227261421,0.289872421400733,0.04736406832731591
