regimen,observable,max_abs,max_norm_abs
fixed_0.05mg,IL6combo,0.0016055904522005449,1.5892200007077286e-05
fixed_0.2mg,IL6combo,0.00347933528328781,8.835757958688785e-06
fixed_0.4mg,IL6combo,0.0025544355075908243,3.9268381132649035e-06
fixed_0.8mg,IL6combo,0.0027599079429592166,2.9460834110083684e-06
fixed_1.2mg,IL6combo,0.0026941832695683843,2.4230268405020816e-06
fixed_1.6mg,IL6combo,0.0019780011609782377,1.608368759621731e-06
fixed_2mg,IL6combo,0.007327823260311561,5.5694768174443694e-06
fixed_2.8mg,IL6combo,0.006479788272599762,4.5169532101960886e-06
step_0.4_1_2.8mg,IL6combo,0.0025868826060104766,3.976716568487716e-06
step_0.8_2_4.2mg,IL6combo,0.0013916149659962684,1.4875281907461648e-06
step_1_1_3mg,IL6combo,0.0010768831435825632,1.0417278038080333e-06
step_1_2_6mg,IL6combo,0.0010768831435825632,1.0417278038080333e-06
step_0.8_2_6mg,IL6combo,0.0013916149659962684,1.4875281907461648e-06
step_1_2_9mg,IL6combo,0.0010768831435825632,1.0417278038080333e-06
step_1_2_13.5mg,IL6combo,0.0010768831435825632,1.0417278038080333e-06
step_1_2_20mg,IL6combo,0.0010768831435825632,1.0417278038080333e-06
step_1_2_27mg,IL6combo,0.0010768831435825632,1.0417278038080333e-06
fixed_0.05mg,Btumor,10650.583435058594,1.635951945933033e-08
fixed_0.2mg,Btumor,37311.53239440918,5.9306166955057324e-08
fixed_0.4mg,Btumor,582.5421142578125,9.887863292266102e-10
fixed_0.8mg,Btumor,3251.6497344970703,6.919630399521123e-09
fixed_1.2mg,Btumor,34646.7029876709,1.1701660166119248e-07
fixed_1.6mg,Btumor,15646.178726196289,1.3506392876235485e-07
fixed_2mg,Btumor,17876.63584804535,1.94456099544383e-07
fixed_2.8mg,Btumor,23552.313064575195,2.9094430660963125e-07
step_0.4_1_2.8mg,Btumor,58454.17224788666,5.786435757634061e-07
step_0.8_2_4.2mg,Btumor,53960.823234558105,6.107581935123629e-07
step_1_1_3mg,Btumor,84036.15193653107,9.416893469579888e-07
step_1_2_6mg,Btumor,89052.74933338165,1.0277827053276366e-06
step_0.8_2_6mg,Btumor,90881.89273929596,1.0286511084376582e-06
step_1_2_9mg,Btumor,49880.46123123169,5.756843642783334e-07
step_1_2_13.5mg,Btumor,18263.750310897827,2.1078705424007177e-07
step_1_2_20mg,Btumor,208984.63450813293,2.4119501602648596e-06
step_1_2_27mg,Btumor,158096.70438957214,1.8246383155740332e-06
