name,value
VmB,0.95
KmTB_kill,0.75
KdrugB,1.302
kBapop,0.02
kBprolif,0.05
kTprolif,0.7
kBkill,275.189
KdrugactT,130.083
VmT,0.9
KmBT_act,0.716
kTaexit,0.123
kTact,9.828
fTadeact,0.005
fTap,3.773
Cl_tdb,5.4
Cld_tdb,24.17
Vc_tdb,36.78
Vp_tdb,173.47
kTgen,1
kTaapop,0.061
KTrp,200
Trpbo_perml,500000
fTaprolif,2.106
fBprolif,0
Bpbo_perml,250000
fBexit,1
KBp,333
Kp,0.14
Vpb,5000
Vtissue,210
fTrapop,0.2
Trpbref_perml,500000
nkill,1.027
KTrp2,190
Vm_tdb,212
Km_tdb,4.74
BW,3.4
act0on,1
kIL6prod,14
fa0,0.002
fAICD,1.497
kBAFFprod,1
Bpbref_perml,250000
thBAFF,30
thalfIL6,20
fTa0deact,0.001
fTa0apop,2.019
BAFFo,1
fBAFFo,0.1
tinjhalf,1
finj,1
KBp2,190
Vtissue2,400
Kp2,0.07
tissue2on,0
Vc_rtx,28
Vp_rtx,9
Cl_rtx,8
Cld_rtx,23
Vm_rtx,0
Km_rtx,1
Kmkill_rtx,25
fTgenbl,0
depleteTpb,0
depleteBpb,0
kTrexit,0.045
PKflag,1
VPid,1
end_time,84
fdrug,6.3839
Vtissue3,500
KTrp3,60
tissue3on,0
Kp3,0.07
kBtiss3exit,0.03
KBp3,80
B19no20_B1920_ratio,0.25
fvalidation,0
fapop_v24,0
fBtissue3_v1,1
kBmat_kBapop_ratio,0.25
ndrugactT,0.8
Cl_blin,22300
Vz_blin,1610
KdrugactT_blin,0.1
ndrugactT_blin,1
KmTB_kill_blin,0.75
KdrugB_blin,0.15
nkill_blin,1.027
KmBT_act_blin,0.716
kBapop_cll,1
kBgen_cll,1
fBkill,0.1
fTact,0.25
fKmTB_kill,10
Kptumor,0.05
Vtumor,49.6
KBptumor,6500
KTrptumor,125
tumor_on,1
IL6_tiss_contribution,0.0004
kBtumorprolif,0.025
S,1.4
tissue1on,1
kabs_TDB,1.4
fbio_TDB,0.6
Bcell_tumor_trafficking_on,1
